algorithm,size,rule,lookahead,runs,mean_cost,std_cost,mean_steps,std_steps,mean_replans,mean_expanded,std_expanded,mean_replan_ms,std_replan_ms,mean_total_ms,std_total_ms
A*,20x20,Local Cost Spiking,0,10,145.1,11.279,37.4,3.273,4.2,809.4,77.049,1.573,0.154,1.632,0.156
A*,40x40,Local Cost Spiking,0,10,302.5,35.366,78.2,4.158,8.2,7351.6,244.55,15.029,0.596,15.261,0.603
A*,80x80,Local Cost Spiking,0,10,582.3,29.996,160.2,3.19,16.3,60198.3,2960.838,127.2,6.583,128.547,6.644
D*Lite,20x20,Local Cost Spiking,0,10,163.8,25.068,35.2,1.687,4.0,381.5,50.116,5.606,0.867,5.89,0.867
D*Lite,40x40,Local Cost Spiking,0,10,292.5,26.307,75.8,1.751,8.0,1555.8,36.796,24.167,1.674,24.959,1.688
D*Lite,80x80,Local Cost Spiking,0,10,597.9,24.547,158.6,4.115,16.2,6382.5,54.392,99.652,1.51,101.493,1.533
GBFS,20x20,Local Cost Spiking,0,10,354.4,51.049,34.0,0.0,4.0,80.0,0.0,0.098,0.002,0.133,0.003
GBFS,40x40,Local Cost Spiking,0,10,693.5,96.131,74.0,0.0,8.0,320.0,0.0,0.408,0.015,0.492,0.019
GBFS,80x80,Local Cost Spiking,0,10,1388.9,132.444,154.0,0.0,16.0,1280.0,0.0,1.651,0.02,1.836,0.025
UCS,20x20,Local Cost Spiking,0,10,132.0,22.231,36.2,2.201,4.0,910.6,84.656,1.547,0.164,1.606,0.165
UCS,40x40,Local Cost Spiking,0,10,281.3,17.075,76.8,3.553,8.1,8365.4,122.181,14.894,0.384,15.142,0.394
UCS,80x80,Local Cost Spiking,0,10,586.2,32.362,159.8,3.706,16.3,70589.0,2450.988,131.679,5.22,133.179,5.283
wA*,20x20,Local Cost Spiking,0,10,154.0,25.007,35.8,3.048,4.1,718.6,77.763,1.46,0.158,1.516,0.161
wA*,40x40,Local Cost Spiking,0,10,289.7,24.855,75.8,1.989,8.0,6487.8,958.949,13.891,2.021,14.106,2.034
wA*,80x80,Local Cost Spiking,0,10,586.2,28.319,159.4,4.115,16.2,47492.1,4061.87,105.758,9.083,106.917,9.159
